PANID,Combined_Pre_Tax_Income_of_HH,Family_Size,HH_RACE,Type_of_Residential_Possession,HH_AGE,HH_EDU,HH_OCC,Age_Group_Applied_to_Male_HH,Education_Level_Reached_by_Male_,Occupation_Code_of_Male_HH,Male_Working_Hour_Code,MALE_SMOKE,Age_Group_Applied_to_Female_HH,Education_Level_Reached_by_Femal,Occupation_Code_of_Female_HH,Female_Working_Hour_Code,FEM_SMOKE,Number_of_Dogs,Number_of_Cats,Children_Group_Code,Marital_Status,Number_of_TVs_Used_by_HH,Number_of_TVs_Hooked_to_Cable,HH_Head_Race__RACE2_,HH_Head_Race__RACE3_,Microwave_Owned_by_HH
1101626,9,1,1,2,5,8,1,7,9,11,7,.,5,8,1,3,0,1,0,8,1,1,1,1,1,1
1101642,6,2,1,1,4,4,2,4,3,10,4,.,4,4,2,3,1,1,1,8,1,2,2,1,1,1
1101709,8,1,1,2,4,6,1,7,9,11,7,.,4,6,1,3,0,0,0,8,5,4,4,1,1,1
1101758,8,2,1,2,5,6,4,5,6,7,2,0,5,6,4,2,0,0,1,8,2,3,3,1,1,1
1101766,4,2,1,2,6,7,10,6,8,10,4,0,6,7,10,4,0,0,0,8,2,2,2,1,1,1
1102012,6,2,1,2,6,7,10,7,9,11,7,.,6,7,10,4,0,1,2,8,4,4,4,1,1,1
1102046,7,2,1,2,6,4,10,7,9,11,7,.,6,4,10,4,1,0,1,8,2,3,3,1,1,1
1102202,9,2,1,2,5,4,4,5,4,10,4,0,5,4,4,3,0,2,1,8,2,4,4,1,1,1
1102236,7,1,1,2,6,6,4,7,9,11,7,.,6,6,4,3,0,1,2,8,4,1,1,1,1,1
1102277,5,2,1,2,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,2,1,.,1,1
1102285,6,2,1,2,6,8,10,6,3,10,4,0,6,8,10,4,0,0,0,8,2,3,3,1,1,1
1102293,7,1,1,2,6,7,10,7,9,11,7,.,6,7,10,4,0,0,0,8,4,2,2,1,1,1
1102368,5,2,1,2,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,3,3,1,1,1
1102384,6,1,1,2,6,8,3,7,9,11,7,.,6,8,3,3,0,0,3,8,4,1,1,1,1,1
1102491,6,2,1,2,6,6,10,6,4,10,4,0,6,6,10,4,0,0,0,8,2,2,1,1,1,1
1102525,3,1,1,2,6,4,13,7,9,11,7,.,6,4,13,1,0,0,0,8,4,1,1,1,1,1
1102624,1,1,1,1,6,4,10,7,9,11,7,.,6,4,10,4,0,0,1,8,4,1,1,1,1,1
1102772,8,2,1,2,4,6,10,4,5,6,3,0,4,6,10,3,0,1,1,8,2,4,4,1,1,1
1103069,2,2,1,2,6,6,10,6,6,10,4,1,6,6,10,4,0,0,0,8,5,2,2,1,1,1
1103101,6,1,1,2,4,4,7,4,4,7,3,0,7,9,11,7,.,0,4,8,1,2,1,1,1,1
1103127,4,2,1,2,6,6,3,6,4,9,3,0,6,6,3,2,0,0,2,8,2,2,2,1,1,1
1103135,2,2,1,1,6,3,13,6,3,10,4,0,6,3,13,5,0,0,2,8,2,1,2,1,1,.
1103234,8,2,1,2,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,2,2,1,1,1
1103440,9,2,1,2,5,5,1,5,5,1,3,0,5,5,1,3,0,1,0,8,2,4,4,1,1,1
1103895,6,2,1,2,6,4,10,6,5,10,4,0,6,4,10,4,0,0,0,8,2,2,2,1,1,1
1103911,5,1,1,2,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,4,2,2,1,1,1
1103986,10,3,1,2,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,4,5,5,1,1,1
1104018,6,4,1,2,5,4,4,5,4,6,3,0,5,4,4,3,0,0,0,8,2,1,1,.,1,1
1104042,7,2,1,2,6,4,10,6,4,10,4,0,6,4,10,4,1,0,0,8,2,2,1,1,1,1
1104133,3,1,1,2,6,4,10,7,9,11,7,.,6,4,10,4,1,0,0,8,3,2,2,1,1,1
1104224,1,4,1,2,5,8,13,6,8,1,3,.,5,8,13,1,.,0,0,8,2,1,1,.,1,1
1104257,4,3,1,2,6,5,10,6,3,10,4,0,6,5,10,4,0,0,0,8,2,2,2,1,1,1
1104281,6,1,1,2,6,4,13,7,9,11,7,.,6,4,13,5,0,0,0,8,4,1,1,1,1,1
1104315,8,2,1,2,6,7,10,6,8,10,4,0,6,7,10,4,0,0,0,8,2,2,1,1,1,1
1104372,5,2,1,2,6,4,10,6,6,10,4,0,6,4,10,4,0,0,0,8,2,6,6,1,1,1
1104406,9,2,1,2,6,4,13,6,8,10,4,0,6,4,13,5,0,0,0,8,2,2,2,1,1,1
1104414,1,2,1,1,6,4,13,7,9,11,7,.,6,4,13,1,1,1,0,8,4,3,4,1,1,1
1104612,4,1,1,2,6,6,10,7,9,11,7,.,6,6,10,4,0,0,0,8,3,2,2,1,1,1
1104687,8,2,1,2,6,6,1,6,7,10,4,0,6,6,1,2,1,0,0,8,2,3,3,1,1,1
1104703,8,2,1,1,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,4,1,1,1,1,1
1104869,8,2,1,2,5,7,10,6,8,10,4,0,5,7,10,4,0,2,0,8,2,3,3,1,1,1
1104919,8,1,1,2,6,7,10,7,9,11,7,.,6,7,10,4,0,0,0,8,1,1,1,1,1,1
1104968,8,3,1,2,5,4,8,6,4,7,3,0,5,4,8,3,0,1,1,8,2,4,4,1,1,1
1105080,3,1,1,1,5,4,9,7,9,11,7,.,5,4,9,2,0,0,0,8,3,1,1,1,1,1
1105122,11,2,1,2,6,6,10,6,8,10,4,0,6,6,10,4,0,0,1,8,2,3,3,1,1,1
1105171,10,2,1,1,6,6,10,6,6,10,4,0,6,6,10,4,0,0,0,8,2,2,2,1,1,1
1105213,5,1,1,2,5,3,10,7,9,11,7,.,5,3,10,4,1,0,4,8,1,3,3,1,1,1
1105239,9,2,1,2,5,8,10,6,8,10,4,0,5,8,10,4,0,0,2,8,2,2,2,1,1,1
1105726,11,2,1,2,5,7,1,5,5,6,3,0,5,7,1,3,0,0,0,8,2,4,3,1,1,1
1105759,10,1,1,2,6,6,1,7,9,11,7,.,6,6,1,3,0,0,0,8,3,1,1,1,1,1
1105775,6,2,1,2,6,6,10,6,8,10,4,0,6,6,10,4,0,0,0,8,2,2,2,1,1,1
1105809,11,3,1,2,5,7,1,5,8,10,4,0,5,7,1,2,0,0,0,8,2,2,2,1,1,1
1105965,10,2,1,2,5,4,10,5,7,10,4,0,5,4,10,4,0,0,1,8,2,3,3,1,1,1
1105999,6,1,1,2,6,6,13,7,9,11,7,.,6,6,13,1,0,0,0,8,4,2,2,1,1,1
1106229,7,3,1,2,5,6,2,5,4,10,4,0,5,6,2,3,0,1,0,8,2,2,2,1,1,1
1106294,7,2,1,2,6,6,7,6,5,10,4,0,6,6,7,2,0,0,0,8,2,4,4,1,1,1
1106484,11,2,1,2,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,3,2,2,1,1,1
1106575,8,2,1,2,5,7,1,7,9,11,7,.,5,7,1,3,0,1,0,8,3,4,4,1,1,1
1106583,11,3,1,2,5,4,13,6,3,10,4,.,5,4,13,5,0,1,0,8,2,2,2,1,1,1
1106781,1,2,1,2,5,4,13,7,9,11,7,.,5,4,13,1,0,0,0,8,3,3,3,1,1,1
1106864,9,2,1,2,6,6,10,6,6,10,4,0,6,6,10,4,0,0,0,8,2,3,1,1,1,1
1106914,6,2,1,2,6,3,10,6,3,10,4,0,6,3,10,4,0,0,0,8,2,2,2,1,1,1
1107011,11,2,1,2,5,5,1,5,6,10,4,0,5,5,1,2,0,0,0,8,2,4,4,1,1,1
1107235,9,2,1,2,5,4,10,5,4,3,3,0,5,4,10,4,0,1,2,8,2,3,3,1,1,1
1107250,6,2,1,2,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,2,1,1,1,1
1107318,7,3,1,2,6,4,10,6,5,10,4,0,6,4,10,4,0,0,1,8,2,3,3,1,1,1
1107359,7,1,1,2,5,4,9,7,9,11,7,.,5,4,9,3,0,0,0,8,3,1,1,1,1,1
1107367,6,2,1,2,6,5,4,6,5,10,4,0,6,5,4,2,0,0,0,8,2,1,1,1,1,1
1107391,7,2,1,2,6,4,7,6,8,10,4,0,6,4,7,2,0,0,2,8,2,3,3,1,1,1
1107516,4,2,1,2,5,4,8,5,2,10,4,1,5,4,8,2,1,0,0,8,2,3,3,6,6,1
1107581,6,2,1,2,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,3,3,1,1,1
1107649,5,2,1,2,6,4,10,6,4,10,4,1,6,4,10,4,0,0,0,8,2,1,1,.,1,1
1107847,5,6,1,1,4,3,13,4,4,3,3,.,4,3,13,1,.,0,0,8,0,1,1,.,1,.
1107862,5,2,1,2,5,5,1,6,4,13,1,0,5,5,1,2,0,0,0,8,2,1,1,1,1,.
1107920,7,2,1,2,6,4,10,6,6,10,4,0,6,4,10,4,0,0,0,8,2,3,3,1,1,1
1107953,5,2,1,2,6,5,10,6,4,10,4,1,6,5,10,4,0,0,1,8,2,2,2,1,1,1
1107961,8,4,1,2,5,5,1,5,5,1,3,0,5,5,1,3,0,0,1,8,2,4,4,1,1,1
1108043,7,2,1,2,6,4,10,7,9,11,7,.,6,4,10,4,0,0,1,8,4,5,5,1,1,1
1108084,4,1,1,2,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,4,2,1,1,1,1
1108225,12,2,1,2,4,4,3,4,4,3,3,0,4,4,3,3,0,0,0,8,2,3,3,1,1,1
1108266,9,2,1,2,6,4,10,6,4,10,4,0,6,4,10,4,0,1,0,8,2,3,3,1,1,1
1108308,11,2,1,2,6,6,10,6,8,1,3,0,6,6,10,4,0,0,0,8,2,3,3,1,1,1
1108316,11,2,1,2,5,8,2,5,8,2,3,0,5,8,2,3,0,1,0,8,2,3,3,1,1,1
1108415,5,2,1,2,5,8,10,5,8,10,4,0,5,8,10,4,0,0,0,8,2,3,3,1,1,1
1108456,10,3,1,2,5,4,9,5,3,8,3,1,5,4,9,3,1,1,0,2,2,2,1,1,1,1
1108514,6,3,1,2,6,4,13,6,7,10,4,0,6,4,13,1,0,0,0,8,2,4,4,1,1,1
1108670,5,2,1,2,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,4,4,1,1,1
1108746,5,1,1,2,6,7,10,6,7,10,4,0,7,9,11,7,.,0,1,8,1,1,1,1,1,1
1108795,5,2,1,2,6,4,10,6,4,10,4,0,6,4,10,4,0,0,1,8,2,4,4,1,1,1
1108829,3,3,1,2,6,6,13,7,9,11,7,.,6,6,13,5,0,0,0,8,1,3,2,1,1,1
1108878,6,2,1,2,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,1,1,1,1,1
1108886,6,2,1,2,5,6,1,5,4,10,4,.,5,6,1,2,0,0,0,8,2,3,3,1,1,1
1108910,11,2,1,2,5,7,1,5,5,10,4,0,5,7,1,3,0,0,0,8,2,3,3,1,1,1
1108951,9,6,1,2,5,7,1,5,7,1,3,0,5,7,1,2,0,1,0,3,2,1,1,1,1,1
1109108,6,1,1,2,6,3,10,7,9,11,7,.,6,3,10,4,1,0,0,8,4,3,3,1,1,1
1109272,6,2,1,2,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,3,3,1,1,1
1109306,5,1,1,2,6,6,10,6,6,10,4,0,7,9,11,7,.,0,0,8,4,1,1,1,1,1
1109447,5,1,1,1,5,6,4,7,9,11,7,.,5,6,4,3,1,0,0,8,3,2,2,1,1,1
1109462,10,2,1,2,6,7,10,6,8,3,3,0,6,7,10,4,0,0,0,8,2,2,2,1,1,1
1109488,10,2,1,2,6,7,10,6,7,10,4,0,6,7,10,4,0,0,1,8,2,2,2,1,1,1
1109595,9,3,1,2,5,6,4,5,5,10,4,0,5,6,4,3,0,0,2,8,0,4,4,1,1,1
1109603,12,2,1,2,6,4,4,6,7,10,4,0,6,4,4,3,0,0,0,8,2,6,5,1,1,1
1109629,8,4,1,2,4,7,1,5,4,6,3,1,4,7,1,3,0,1,0,3,2,4,4,1,1,1
1109728,8,2,1,2,5,4,13,5,4,2,3,0,5,4,13,1,0,0,0,8,2,2,2,1,1,1
1109868,5,2,1,1,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,2,2,1,1,1
1109892,9,3,1,2,5,4,1,5,4,7,2,1,5,4,1,3,0,0,0,8,2,3,2,1,1,1
1109942,1,1,1,1,6,3,13,7,9,11,7,.,6,3,13,5,0,0,0,8,4,1,1,1,1,.
1110072,7,2,1,2,5,4,13,6,4,3,3,0,5,4,13,5,1,0,0,8,2,3,3,1,1,1
1110346,10,3,1,2,5,5,10,5,5,10,4,0,7,9,11,7,.,4,0,8,4,3,3,1,1,1
1110379,6,2,1,2,6,3,13,6,4,10,4,0,6,3,13,5,0,0,1,8,2,2,2,1,1,1
1110403,8,2,1,2,6,7,10,6,7,10,4,0,7,9,11,7,.,2,0,8,4,2,2,.,1,1
1110437,3,1,1,1,6,2,10,7,9,11,7,.,6,2,10,4,0,0,0,8,4,1,1,1,1,.
1110445,7,1,1,2,6,3,10,7,9,11,7,.,6,3,10,4,0,0,0,8,4,3,3,1,1,1
1110460,1,1,1,2,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,4,2,2,1,1,1
1110486,8,2,1,2,6,5,10,6,5,10,4,0,7,9,11,7,.,1,0,8,4,3,3,1,1,1
1110544,7,2,1,2,6,4,8,6,4,9,2,0,6,4,8,2,0,0,1,8,2,3,3,1,1,1
1110585,12,2,3,2,6,4,3,6,4,10,4,0,6,4,3,3,1,0,2,8,2,4,4,97,1,1
1110650,10,4,1,2,6,4,1,5,6,1,3,0,6,4,1,3,0,1,1,8,2,1,1,1,1,1
1110833,6,2,1,2,6,5,10,6,4,10,4,0,6,5,10,4,0,0,0,8,2,2,2,1,1,1
1110940,2,2,1,1,6,6,13,7,9,11,7,.,6,6,13,1,0,0,1,8,4,1,1,1,1,.
1110973,9,2,1,2,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,2,1,1,1,1,1
1111138,8,1,1,2,5,5,4,7,9,11,7,.,5,5,4,3,0,0,0,8,3,1,1,1,1,1
1111187,6,2,1,2,5,4,4,7,9,11,7,.,5,4,4,3,0,0,0,8,3,3,2,1,1,1
1111229,5,2,1,2,6,5,10,7,9,11,7,.,6,5,10,4,0,0,0,8,4,1,1,1,1,1
1111245,3,2,1,2,5,4,13,5,4,8,2,1,5,4,13,5,0,0,2,8,2,3,2,1,1,1
1111286,2,1,1,1,6,8,10,7,9,11,7,.,6,8,10,4,0,0,0,8,4,1,1,1,1,1
1111435,8,2,1,2,6,6,10,6,6,10,4,0,6,6,10,4,0,0,1,8,2,2,2,1,1,1
1111450,9,3,1,2,6,6,10,6,3,10,4,0,6,6,10,4,0,0,0,8,2,2,1,1,1,1
1111468,5,1,1,1,6,4,10,7,9,11,7,.,6,4,10,4,0,1,0,8,4,2,2,1,1,1
1111526,8,1,1,2,6,5,10,7,9,11,7,.,6,5,10,4,1,1,1,8,4,3,3,1,1,1
1111542,10,2,1,2,4,7,4,5,6,9,3,0,4,7,4,3,0,0,0,8,2,4,4,1,1,1
1111559,7,2,1,2,6,4,10,6,8,10,4,0,6,4,10,4,0,0,0,8,2,2,2,1,1,1
1111971,7,2,1,2,6,6,10,6,7,10,4,1,6,6,10,4,0,0,0,8,2,3,3,1,1,1
1112029,2,1,1,1,6,5,10,7,9,11,7,.,6,5,10,4,0,0,0,8,4,2,2,1,1,1
1112052,4,2,1,1,6,3,13,7,9,11,7,.,6,3,13,5,0,0,0,8,4,2,2,1,1,1
1112102,9,1,1,2,6,7,10,6,7,10,4,0,7,9,11,7,.,0,0,8,4,1,1,1,1,1
1112185,8,1,1,2,5,8,10,7,9,11,7,.,5,8,10,4,0,1,0,8,1,2,2,1,1,1
1112201,12,4,1,2,4,6,3,5,7,1,3,1,4,6,3,3,0,1,0,8,2,4,4,1,1,1
1112219,4,1,1,2,6,3,10,7,9,11,7,.,6,3,10,4,0,0,0,8,4,2,2,1,1,1
1112235,9,3,1,2,4,7,4,5,7,1,3,0,4,7,4,2,0,1,0,8,2,2,1,.,1,1
1112268,8,4,1,2,4,4,6,5,4,6,3,0,4,4,6,3,0,1,1,8,2,4,3,1,1,1
1112623,11,2,1,2,5,5,1,5,5,10,4,0,5,5,1,2,0,2,0,8,2,4,4,1,1,1
1112656,5,1,1,2,6,6,10,7,9,11,7,.,6,6,10,4,0,0,1,8,4,1,2,1,1,1
1112706,6,2,1,2,5,8,1,6,8,10,4,0,5,8,1,2,0,0,0,8,2,2,2,1,1,1
1112805,2,2,3,2,4,3,4,4,3,4,2,0,7,9,11,7,.,0,2,8,4,5,5,97,1,1
1113068,6,2,1,2,5,4,10,5,6,10,4,0,5,4,10,4,0,0,0,8,2,3,3,1,1,1
1113274,4,2,1,2,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,1,1,1,1,1
1113282,6,2,1,2,5,7,2,6,8,2,2,0,5,7,2,2,0,2,0,8,2,3,3,1,1,1
1113423,12,2,1,2,5,8,10,5,8,1,3,0,5,8,10,4,0,0,0,8,2,5,5,1,1,1
1113472,12,4,1,2,5,5,13,6,5,2,3,0,5,5,13,5,0,0,0,8,2,4,4,1,1,1
1113589,12,2,1,2,4,8,2,4,7,1,3,0,4,8,2,3,1,0,0,8,2,1,1,1,1,1
1113621,8,2,1,2,6,4,0,6,8,10,4,.,6,4,1,3,.,0,1,8,0,2,2,1,1,.
1113696,9,1,1,2,6,7,10,6,7,10,4,0,7,9,11,7,.,1,0,8,4,3,2,1,1,1
1113753,11,2,1,2,5,5,3,5,4,4,3,.,5,5,3,3,0,0,0,8,3,3,3,1,1,1
1113845,11,2,1,2,6,4,13,6,7,10,4,0,6,4,13,5,0,0,0,8,2,4,4,1,1,1
1113894,2,1,1,2,6,6,10,6,6,10,4,0,7,9,11,7,.,0,0,8,4,1,1,1,1,1
1113902,6,2,1,2,6,5,10,6,4,10,4,0,6,5,10,4,0,0,0,8,2,3,3,1,1,1
1113977,6,2,1,2,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,1,4,1,1,1,1,.
1114207,9,3,1,2,5,7,1,4,5,1,2,0,5,7,1,2,0,0,0,3,2,3,3,1,1,1
1114272,6,2,1,2,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,1,1,1,1,1
1114298,4,1,1,2,6,6,4,7,9,11,7,.,6,6,4,2,1,0,1,8,4,2,2,1,1,1
1114405,9,1,1,2,6,8,1,6,8,1,3,1,7,9,11,7,.,0,0,8,1,1,1,1,1,1
1114413,11,2,1,2,5,5,1,5,7,1,3,0,5,5,1,3,0,1,0,8,2,3,2,1,1,1
1114421,10,2,1,2,4,4,2,4,5,6,3,1,4,4,2,3,1,0,0,8,2,3,2,1,1,1
1114678,5,1,1,2,6,8,10,7,9,11,7,.,6,8,10,4,0,0,0,8,1,1,1,1,1,.
1114710,11,3,1,2,6,4,13,5,7,3,3,0,6,4,13,5,0,0,0,8,2,2,2,1,1,1
1114868,7,2,1,2,6,4,10,6,4,10,4,0,6,4,10,4,1,0,0,8,2,1,1,1,1,1
1114892,7,2,1,2,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,2,2,1,1,1
1114900,6,2,1,2,5,7,1,5,7,1,2,0,5,7,1,2,0,0,0,8,2,2,2,1,1,1
1114967,9,3,1,2,5,5,1,5,4,3,3,0,5,5,1,3,0,1,0,8,2,4,4,1,1,1
1114975,7,1,1,2,6,6,10,7,9,11,7,.,6,6,10,4,0,0,0,8,4,3,3,1,1,1
1114983,11,2,1,2,6,6,10,6,7,10,4,0,6,6,10,4,0,0,0,8,2,5,5,1,1,1
1115154,7,2,1,2,6,7,10,6,7,10,4,0,6,7,10,4,0,0,0,8,2,1,1,1,1,1
1115295,5,2,1,2,5,4,13,5,4,9,3,0,5,4,13,1,1,0,0,8,2,2,2,1,1,1
1115378,4,2,1,2,6,7,10,6,6,10,4,0,6,7,10,4,.,0,0,8,2,3,3,.,1,1
1115535,5,1,1,2,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,4,1,1,1,1,1
1115659,9,1,1,2,6,7,1,7,9,11,7,.,6,7,1,3,0,0,0,8,3,3,3,1,1,1
1115808,7,3,1,2,6,5,1,6,7,2,3,0,6,5,1,2,0,2,2,8,2,2,1,.,1,1
1116012,4,2,1,2,6,4,10,6,4,10,4,0,6,4,10,4,0,0,0,8,2,2,1,.,1,1
1116061,3,1,1,1,6,6,10,7,9,11,7,.,6,6,10,4,1,0,1,8,4,2,3,1,1,1
1116210,10,2,1,2,5,4,1,5,4,9,2,0,5,4,1,2,0,0,1,8,2,3,1,1,1,1
1116400,3,1,1,2,6,7,2,7,9,11,7,.,6,7,2,2,0,1,0,8,4,2,2,1,1,1
1116541,5,3,1,2,5,4,1,5,2,10,4,1,5,4,1,3,0,0,4,8,2,2,1,1,1,1
1116558,7,2,1,2,6,5,10,6,5,10,4,0,6,5,10,4,0,0,0,8,2,2,2,1,1,1
1116566,4,1,1,1,5,4,6,7,9,11,7,.,5,4,6,3,0,0,0,8,3,1,1,1,1,1
1116590,3,1,1,1,6,3,3,7,9,11,7,.,6,3,3,2,1,0,0,8,4,1,1,1,1,.
1116608,4,4,1,2,6,6,13,6,6,13,1,.,7,9,11,7,.,5,0,8,0,1,1,4,4,.
1116657,6,1,1,2,6,5,1,7,9,11,7,.,6,5,1,2,0,0,0,8,3,2,2,1,1,1
1116681,11,3,1,2,4,6,4,4,5,1,3,0,4,6,4,2,0,0,3,8,2,2,2,1,1,1
1116699,9,3,1,2,6,5,10,6,5,10,4,0,6,5,10,4,0,0,0,8,2,5,5,1,1,1
1116749,6,1,1,1,6,6,10,7,9,11,7,.,6,6,10,4,0,0,1,8,4,2,2,1,1,1
1116772,8,2,1,2,5,7,1,5,6,7,2,0,5,7,1,2,0,0,0,8,2,2,2,1,1,1
1116814,9,2,1,2,6,6,10,6,6,10,4,0,6,6,10,4,0,0,0,8,2,3,2,1,1,1
1116913,11,3,1,2,6,4,10,6,4,10,4,0,7,9,11,7,.,1,0,8,4,4,4,1,1,1
1116921,6,2,1,2,6,6,4,7,9,11,7,.,6,6,4,3,0,0,0,8,3,5,4,1,1,1
1117044,12,2,1,2,4,6,2,4,6,2,3,0,4,6,2,3,0,0,0,8,2,2,2,1,1,1
1117234,7,1,1,2,6,4,10,7,9,11,7,.,6,4,10,4,0,0,2,8,4,3,3,1,1,1
1117408,5,2,1,1,6,4,10,6,6,10,4,0,6,4,10,4,.,1,0,8,2,1,1,.,1,1
1117531,6,2,1,2,5,4,13,5,4,10,4,0,5,4,13,5,0,1,0,8,2,4,4,1,1,1
1117572,9,2,1,2,5,7,13,5,7,1,3,0,5,7,13,6,0,0,0,8,2,3,3,1,1,1
1117606,9,2,1,2,6,7,13,6,8,10,4,0,6,7,13,5,0,0,0,8,2,2,2,1,1,1
1117614,4,2,1,2,6,4,10,6,4,10,4,0,6,4,10,4,0,1,0,8,2,4,4,1,1,1
1117622,8,2,1,2,5,6,7,5,6,7,3,0,7,9,11,7,.,0,0,8,3,4,4,1,1,1
1117697,2,1,1,1,6,3,10,7,9,11,7,.,6,3,10,4,0,0,2,8,4,1,1,1,1,1
1117747,10,2,1,2,4,6,1,4,5,3,3,1,4,6,1,3,1,0,0,8,2,2,2,2,2,1
1117846,4,2,1,2,6,6,10,6,4,10,4,0,6,6,10,4,0,0,2,8,2,3,3,6,6,1
1117911,1,1,1,1,5,3,13,5,3,13,1,0,7,9,11,7,.,0,0,8,1,3,3,1,1,.
